PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
76D3EA20,kdd14-d1,a case study privacy preserving release of spatio temporal density in paris,kdd,kdd14,2014,french institute for research in computer science and automation,claude castelluccia|gergely acs,0D8D509F|783C619D,differential privacy
806F6C2A,kdd02-d58,learning to match and cluster large high dimensional data sets for data integration,kdd,kdd02,2002,,william w cohen|jacob richman,7E16380F|8077930D,high dimensional data|text mining|data integrity|clustering|information extraction
75333E66,kdd11-d35,compression of weighted graphs,kdd,kdd11,2011,university of helsinki,fang zhou|hannu toivonen|aleksi hartikainen|atte hinkka,85FF5151|135FEDAE|08151184|7A6576FC,approximation error|network|compression
77D5BF45,kdd04-d43,early detection of insider trading in option markets,kdd,kdd04,2004,,steve donoho,790974EB,knowledge discovery|decision tree|neural net|logistic regression|data mining
7CB5F18B,kdd14-d126,stability of influence maximization,kdd,kdd14,2014,university of southern california,xinran he|david kempe,7CFC2C82|7F636819,robust optimization|noise|uncertainty
7E53D994,kdd10-d46,diagnosing memory leaks using graph mining on heap dumps,kdd,kdd10,2010,virginia tech,godmar back|naren ramakrishnan|evan k maxwell,7FDCF024|8315FA91|847F31EA,software framework|dominator tree|memory leaks|algorithms|graph|data mining
7DAF6F6C,kdd07-d30,a modified relationship based clustering framework for density based clustering and outlier filtering on high dimensional datasets,kdd,kdd07,2007,marmara university,a yilmaz camurcu|turgay tugay bilgin,192B0709|7B93D691,outlier detection
7B124E2C,kdd12-d7,a probabilistic model for multimodal hash function learning,kdd,kdd12,2012,hong kong university of science and technology,yi zhen|dityan yeung,7E86AC60|7DBC1129,probabilistic model|similarity search|data mining|hash function|synthetic data
7E398827,kdd09-d90,large scale sparse logistic regression,kdd,kdd09,2009,arizona state university,jianhui chen|jun liu|jieping ye,8118A14E|85447164|8019BB07,high dimensional data|convex optimization|first order|machine learning|line search|feature selection|logistic regression|data mining
7678E53F,kdd13-d188,turbograph a fast parallel graph engine handling billion scale graphs in a single pc,kdd,kdd13,2013,pohang university of science and technology,wookshin han|minsoo kim|kyungyeol park|hwanjo yu|jinha kim|jeonghoon lee|sangyeon lee,84E6D41C|7FC43276|80C82930|84B5886A|80E01B84|7D356942|8556058C,big data
78D57E58,kdd15-p1661,whither social networks for web search,kdd,kdd15,2015,boston university,behzad golshan|evangelos e papalexakis|rakesh agrawal,54909EFF|7A945009|8136F216,search engine
7DDCE872,kdd06-d11,algorithms for discovering bucket orders from data,kdd,kdd06,2006,helsinki university of technology,kai puolamaki|heikki mannila|antti ukkonen|aristides gionis,2BF27CC6|05BF2E1C|74B29E2B|12857062,ranking|ordering|scientific data|partial order|total order|algorithms|data mining|performance
7B4D0D42,kdd09-d149,sustainable operation and management of data center chillers using temporal data mining,kdd,kdd09,2009,hp labs,naren ramakrishnan|manish marwah|ratnesh sharma|debprakash patnaik,7F8FB348|8315FA91|7E6184C4|74458E46,clustering|time series data|chillers|run length encoding|time series|data centers|data center|sustainability|temporal data
8098DB5B,kdd12-d73,estimating entity importance via counting set covers,kdd,kdd12,2012,boston university,evimaria terzi|theodoros lappas|aristides gionis,2BF27CC6|82D486DB|7DCE5923,set cover|importance sampling|counting|data mining
7FD21A37,kdd14-d138,travel time estimation of a path using sparse trajectories,kdd,kdd14,2014,cornell university,yu zheng|yilun wang|yexiang xue,7FDBDB84|7F0BAB46|8071E156,na
811B19DA,kdd11-d32,collective graph identification,kdd,kdd11,2011,university of maryland college park,stanley kok|lise getoor|galileo mark namata,7E452E0D|7F196283|764FCAE4,entity resolution|semi supervised learning|social network
7C798BD6,kdd09-d5,a multi relational approach to spatial classification,kdd,kdd09,2009,leiden university,martin ester|arno knobbe|richard g frank,7E1ACCDA|494347C1|7B36EACF,spatial data|spatial relationships|aggregation|parallelization|spatial relation|relational data
7F0A1023,kdd12-d17,active spectral clustering via iterative uncertainty reduction,kdd,kdd12,2012,university of california berkeley,michael i jordan|fabian l wauthier|nebojsa jojic,7F8038BA|690B2120|7CB1BDE5,spectral clustering|active learning
7FF8F3D2,kdd13-d84,ihr an online recruiting system for xiamen talent service center,kdd,kdd13,2013,xiamen university,wenxing hong|wenfu pan|tao li|lei li,84EF70BF|7E5FD491|7E24EC84|7D684884,design|algorithms
