PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
757A146E,kdd15-p1779,utilizing text mining on online medical forums to predict label change due to adverse drug reactions,kdd,kdd15,2015,hebrew university of jerusalem,aviv peretz|binyamin rosenfeld|oded netzer|ronen feldman,8510C89B|7DAA92CA|8604F2AC|80B6E356,text mining|hpsg
79541ECF,kdd15-p1015,why it happened identifying and modeling the reasons of the happening of social events,kdd,kdd15,2015,the chinese university of hong kong,zhiyu mo|yu rong|hong cheng,850E2B39|80D9C0A8|848E6C2C,poisson process|social influence|event cascade
80974821,kdd08-d99,semi supervised learning with data calibration for long term time series forecasting,kdd,kdd08,2008,michigan state university,pangning tan|haibin cheng,7D5724C0|7DF5587D,supervised learning|time series forecasting|semi supervised learning|hidden markov model|time series prediction|prediction model|climate model|time series
7E961D43,kdd05-d52,finding similar files in large document repositories,kdd,kdd05,2005,hewlett packard,george forman|stephane chiocchetti|kave eshghi,82D6184E|010087D0|80532CC4,bipartite graph|document management|scalability|similarity|content management|customer satisfaction
7ADA365D,kdd01-d56,pva a self adaptive personal view agent system,kdd,kdd01,2001,academia sinica,c c chen|meng chang chen|yeali sun,7E5FAF9F|7CF74784|7E6564D6,www|machine learning|personalization
759AD565,kdd15-p1465,statistical arbitrage mining for display advertising,kdd,kdd15,2015,university college london,jun wang|weinan zhang,7EA22BA6|81398D47,statistical arbitrage|real time bidding
7B294A1F,kdd11-d45,discovering highly reliable subgraphs in uncertain graphs,kdd,kdd11,2011,ibm,ruoming jin|charu c aggarwal|lin liu,7E50FF8A|7FEE7CA3|7F2DC6CB,protein complex|depth first search|network routing|synthetic data|social network analysis
80418E16,kdd07-d75,local decomposition for rare class analysis,kdd,kdd07,2007,rutgers university,jian chen|junjie wu|peng wu|hui xiong,7E992C13|7F42E870|805F02C6|801CBB4C,support vector machine|k means clustering|support vector|supervised learning
770B2787,kdd06-d24,center piece subgraphs problem definition and fast solutions,kdd,kdd06,2006,carnegie mellon university,christos faloutsos|hanghang tong,8311D172|84BA10BE,viral marketing|gene regulatory network|social network
7E15E87A,kdd06-d103,summarizing itemset patterns using probabilistic models,kdd,kdd06,2006,ohio state university,chao wang|s parthasarathy,7EB11B2E|7D1C31EF,probabilistic model|random variable|empirical study
